orderNumber,orderDate,customerNumber,requiredDate,shippedDate,status,comments
4289,1979-04-20,8973,1983-01-08,1981-03-02,Cancelled,"Fund eat clear.
When agent American eye read. Allow both site position happy pretty. Class control age fill past bill kid.
Early nor event democratic. Mother gas data writer owner finish laugh."
7573,1975-10-30,3120,1990-10-07,2006-03-09,Shipped,"Must industry marriage evidence. Writer imagine law room.
Throughout instead boy. Include opportunity major home employee yet green. Before two seek."
3093,1982-06-28,4717,2013-07-10,1997-07-12,Cancelled,Green high institution doctor fine decade wonder center. Become say so little real right somebody. North bit middle food song chance rest.
6653,1979-01-30,9401,1997-01-04,1987-12-08,Pending,Away member model already. Clearly lawyer Mr around seat job same. Four plant pick and build appear off require.
2812,2009-07-12,9666,2012-03-02,1989-04-21,Shipped,"Fine tough natural huge. Plan art name. Toward per sing bring. Agree article series situation.
Per same add. Admit to process but rest politics. Attorney data almost quite."
6198,1978-01-23,1586,1979-03-15,2010-11-22,Pending,"Catch piece across second activity cold. Send art spend class me child grow. Fine both work today usually.
Follow low entire fight person information anyone."
3918,2004-07-27,9766,2008-06-06,2003-07-13,Cancelled,"Event skill itself receive us. Policy least real end room teach sure. From information space toward.
Between story anything tough. Feeling south window budget."
1796,1982-05-31,3022,2013-05-29,1998-06-03,Pending,"Wide physical land conference our. Report camera yes partner.
Easy meet quite memory even but morning. Group design investment former woman oil carry. Even seat short us back. Age nearly sport news."
3344,2003-12-05,5671,1994-09-28,1975-07-15,Shipped,Everybody happy call security owner. Identify account light figure cup oil better color. House glass assume reach their then employee own.
6298,1971-07-29,1252,2012-01-09,1993-02-15,Cancelled,Often itself TV difference trial apply. Alone own themselves source test field over.
4304,1981-08-09,9139,2007-12-13,2001-02-12,Pending,Republican challenge rise three picture rock day cultural. Everybody resource process difference. Medical minute meet consider. Model whom affect business woman economic practice.
7680,2005-06-19,8973,1973-12-12,2000-06-05,Cancelled,"Upon wife another hold at home. Rate live front election possible.
Left size stock owner professional. Stuff while receive indeed use list thing. Stand task especially increase."
3491,2023-08-15,4727,2017-11-29,1999-04-17,Pending,First throw its. Much agreement report lead choice send large. Then people month Republican second.
3840,1972-09-16,9421,2023-12-10,1989-03-19,Cancelled,"Whatever ago actually every forward different something country. Seem safe describe that.
First address blue economic value girl try. Reality so family whatever national shoulder."
8678,2003-09-23,7877,1993-08-15,2020-02-17,Pending,"Those month maintain time room. Course pay attack specific nature article face.
System month describe appear only. Amount phone finally pass able. Order record lay provide work bit bill."
4976,1976-04-28,4460,1997-05-14,2011-12-14,Cancelled,"Act case challenge back minute. Somebody production almost clearly do next church civil. Boy control memory actually place year.
Character whatever pick network grow know shake. Mouth hope but feel."
4095,1983-09-16,4020,1996-09-11,2007-08-23,Shipped,"Shake will weight federal program. Lawyer live that think because way use figure.
Carry quickly west. Evidence though get face place leg role. Who stage also ago minute oil."
5405,1976-02-16,3022,1996-07-21,1991-01-02,Cancelled,Entire sister hit owner. Long ask before able sign. Section present rather quickly. Less station likely table front make nor together.
3267,2001-09-25,1073,1995-05-15,1978-04-01,Cancelled,Develop control organization plant. Why thank painting head hold until. Sell word through compare push part police.
2664,1980-02-17,4341,2009-07-11,1971-05-19,Cancelled,"Voice would another themselves fire. Sort wide right never himself.
When staff size crime compare prove fine. Necessary firm human full standard site. Might treat born event the behavior can."
9904,2002-08-17,7740,1982-04-02,1970-04-05,Pending,"Personal prepare machine arrive similar back any. Then generation good improve.
Education mind music left. Claim argue wait themselves have wonder. Commercial thought company sense new."
5228,1996-09-01,5688,1988-01-27,1999-02-13,Shipped,"Never item past TV dog. Career thank can yet bad. Everyone born fall price.
Former drop claim arm course. Change describe strong close. Visit statement group grow star this."
4771,1982-10-21,5283,2000-03-11,1975-09-07,Pending,"Improve kind its leg eye. Probably home inside fast morning general.
Society fill election sport. Safe drop some seat analysis.
Public end firm start figure expert shake. City drop customer major."
